Vendor Name, Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department,Proclass
IGNIS FIRE & RESILIENCE LTD,271118K,IGNIS FIRE & RESILIENCE LTD,010,1,"1,800.00",CONSULTANTS,03/12/18,"1,800.00",Operational Resilience,Consultancy
TWO SERVICES LTD,281118K,TWO SERVICES LTD,103440,1,827.00,CATERING EQUIPMENT,03/12/18,890.00,Fire Stations (South East),Catering
TWO SERVICES LTD,281118K,TWO SERVICES LTD,103440,2,63.00,CATERING EQUIPMENT,03/12/18,,Fire Stations (South East),Catering
FIREANGEL SAFETY TECHNOLOGY LD,141118G,FIREANGEL SAFETY TECHNOLOGY LD,1123866,1,"1,575.00",FIRE DETECTORS,03/12/18,"4,575.00",Fire Stations (North West),Health and Safety
FIREANGEL SAFETY TECHNOLOGY LD,141118G,FIREANGEL SAFETY TECHNOLOGY LD,1123866,2,"3,000.00",FIRE DETECTORS,03/12/18,,Fire Stations (North West),Health and Safety
BT GLOBAL SERVICES,271118K,BT GLOBAL SERVICES,1137615,1,541.66,TELECOMMUNICATIONS,03/12/18,541.66,Information and Communication Technology,ICT
MERLIN ELECTRICAL SERVICES LTD,281118K,MERLIN ELECTRICAL SERVICES LTD,11665,1,"1,786.59",REACTIVE SMALL WORKS AND PROJ,03/12/18,"1,786.59",Technical and Service Support,Works - Construction
CASTLE WATER LIMITED,142471,CASTLE WATER LIMITED,1497985,1,434.94,WATER & SEWERAGE RATES,03/12/18,434.94,Technical and Service Support,Utilities
CASTLE WATER LIMITED,142474,CASTLE WATER LIMITED,1498715,1,"1,452.76",WATER & SEWERAGE RATES,03/12/18,"1,452.76",Technical and Service Support,Utilities
CASTLE WATER LIMITED,142472,CASTLE WATER LIMITED,1498928,1,382.89,WATER & SEWERAGE RATES,03/12/18,382.89,Technical and Service Support,Utilities
CASTLE WATER LIMITED,142472,CASTLE WATER LIMITED,1499381,1,537.96,WATER & SEWERAGE RATES,03/12/18,537.96,Technical and Service Support,Utilities
CASTLE WATER LIMITED,142485,CASTLE WATER LIMITED,1501248,1,"1,030.17",WATER & SEWERAGE RATES,03/12/18,"1,030.17",Technical and Service Support,Utilities
ELLE MEDIA GROUP,281118K,ELLE MEDIA GROUP,17016,1,658.00,GENERAL CONSUMABLES,03/12/18,658.00,Procurement,Emergency Services
POLICE & CRIME,201118K,POLICE & CRIME,1800007596,1,"2,000.00",PROFESSIONAL DEVELOPMENT,03/12/18,"2,000.00",Training and Professional Development,Human Resources
ENGIE,800122163,ENGIE,1800044411,1,80.00,REACTIVE MEP,03/12/18,"27,178.98",Technical and Service Support,Works - Construction
