Invoice Number, Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department,Proclass
10128960,800124226,KIER BUILDING SERV ENGINEERS,10128960,10,212.88,REACTIVE BUILDING FABRIC,07/01/19,,Technical and Service Support,Works - Construction
1025850,800123549,HAYS SPECIALIST RECRUITMENT,1025850,1,955.15,FRS STAFF AGENCY,07/01/19,955.15,Health and Safety,Human Resources
1025851,800123568,HAYS SPECIALIST RECRUITMENT,1025851,1,"1,010.09",FRS STAFF AGENCY,07/01/19,"1,010.09",CPO Delivery,Human Resources
1025852,800123561,HAYS SPECIALIST RECRUITMENT,1025852,1,"1,093.75",FRS STAFF AGENCY,07/01/19,"1,093.75",Grenfell Investigation Team,Human Resources
1025853,800123575,HAYS SPECIALIST RECRUITMENT,1025853,1,909.90,FRS STAFF AGENCY,07/01/19,909.90,Information and Communication Technology,Human Resources
1025854,800123556,HAYS SPECIALIST RECRUITMENT,1025854,1,"1,040.72",FRS STAFF AGENCY,07/01/19,"1,040.72",Operational Resilience,Human Resources
1025855,800123581,HAYS SPECIALIST RECRUITMENT,1025855,1,803.52,FRS STAFF AGENCY,07/01/19,803.52,Information and Communication Technology,Human Resources
1025856,800123587,HAYS SPECIALIST RECRUITMENT,1025856,1,"2,303.18",FRS STAFF AGENCY,07/01/19,"2,303.18",Training and Professional Development,Human Resources
1025857,800123585,HAYS SPECIALIST RECRUITMENT,1025857,1,602.70,FRS STAFF AGENCY,07/01/19,602.70,Finance Services,Human Resources
1025858,800123557,HAYS SPECIALIST RECRUITMENT,1025858,1,"1,824.80",FRS STAFF AGENCY,07/01/19,"1,824.80",Information and Communication Technology,Human Resources
1025859,800123586,HAYS SPECIALIST RECRUITMENT,1025859,1,"1,584.55",FRS STAFF AGENCY,07/01/19,"1,584.55",Procurement,Human Resources
1025860,800123560,HAYS SPECIALIST RECRUITMENT,1025860,1,"1,320.55",FRS STAFF AGENCY,07/01/19,"1,320.55",Procurement,Human Resources
1025861,800123592,HAYS SPECIALIST RECRUITMENT,1025861,1,968.80,FRS STAFF AGENCY,07/01/19,968.80,Corporate Management Team,Human Resources
1025862,800123555,HAYS SPECIALIST RECRUITMENT,1025862,1,"1,038.08",FRS STAFF AGENCY,07/01/19,"1,038.08",General Counsel,Human Resources
1025863,800123541,HAYS SPECIALIST RECRUITMENT,1025863,1,496.72,FRS STAFF AGENCY,07/01/19,496.72,CPO Delivery,Human Resources
