 Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department,Title
800059925,*NPS (SHOES) LTD,14462,89,29.45,CLOTHING,02/04/2015,,Operations Fire Stations,Clothing
800059925,*NPS (SHOES) LTD,14462,90,29.45,CLOTHING,02/04/2015,,Operations Fire Stations,Clothing
800059925,*NPS (SHOES) LTD,14462,91,29.45,CLOTHING,02/04/2015,,Fire Safety Regulation,Clothing
800059925,*NPS (SHOES) LTD,14462,92,29.45,CLOTHING,02/04/2015,,Operations Fire Stations,Clothing
800059925,*NPS (SHOES) LTD,14462,93,29.45,CLOTHING,02/04/2015,,Operations Fire Stations,Clothing
800059925,*NPS (SHOES) LTD,14462,94,29.45,CLOTHING,02/04/2015,,Operations Fire Stations,Clothing
800059925,*NPS (SHOES) LTD,14462,95,29.45,CLOTHING,02/04/2015,,Operations Fire Stations,Clothing
800059925,*NPS (SHOES) LTD,14462,96,29.45,CLOTHING,02/04/2015,,Operations Fire Stations,Clothing
800059925,*NPS (SHOES) LTD,14462,97,29.45,CLOTHING,02/04/2015,,Operations Fire Stations,Clothing
800059925,*NPS (SHOES) LTD,14462,98,29.45,CLOTHING,02/04/2015,,Operations Fire Stations,Clothing
800059925,*NPS (SHOES) LTD,14462,99,29.45,CLOTHING,02/04/2015,,HR Development,Clothing
800059925,*NPS (SHOES) LTD,14462,100,29.45,CLOTHING,02/04/2015,,Operations Fire Stations,Clothing
800059925,*NPS (SHOES) LTD,14462,101,41.1,CLOTHING,02/04/2015,,Fire Safety Regulation,Clothing
800059925,*NPS (SHOES) LTD,14462,102,30.05,CLOTHING,02/04/2015,,Operations Fire Stations,Clothing
800059925,*NPS (SHOES) LTD,14462,103,30.05,CLOTHING,02/04/2015,,Operations Fire Stations,Clothing
800059925,*NPS (SHOES) LTD,14462,104,30.05,CLOTHING,02/04/2015,,Operations Fire Stations,Clothing
800059925,*NPS (SHOES) LTD,14462,105,30.05,CLOTHING,02/04/2015,,Operations Fire Stations,Clothing
800059925,*NPS (SHOES) LTD,14462,106,30.05,CLOTHING,02/04/2015,,Operations Fire Stations,Clothing
800059925,*NPS (SHOES) LTD,14462,107,30.05,CLOTHING,02/04/2015,,Operations Fire Stations,Clothing
800059925,*NPS (SHOES) LTD,14462,108,30.05,CLOTHING,02/04/2015,,Fire Safety Regulation,Clothing
800059925,*NPS (SHOES) LTD,14462,109,30.05,CLOTHING,02/04/2015,,Operations Fire Stations,Clothing
800059925,*NPS (SHOES) LTD,14462,110,30.05,CLOTHING,02/04/2015,,Operations Fire Stations,Clothing
800059925,*NPS (SHOES) LTD,14462,111,30.05,CLOTHING,02/04/2015,,Operations Fire Stations,Clothing
800059925,*NPS (SHOES) LTD,14462,112,30.05,CLOTHING,02/04/2015,,Operations Fire Stations,Clothing
800059925,*NPS (SHOES) LTD,14462,113,30.05,CLOTHING,02/04/2015,,Operations Fire Stations,Clothing
800059925,*NPS (SHOES) LTD,14462,114,30.05,CLOTHING,02/04/2015,,Operations Fire Stations,Clothing
800059925,*NPS (SHOES) LTD,14462,115,29.45,CLOTHING,02/04/2015,,Operations Fire Stations,Clothing
800059925,*NPS (SHOES) LTD,14462,116,29.45,CLOTHING,02/04/2015,,Operations Fire Stations,Clothing
800059925,*NPS (SHOES) LTD,14462,117,29.45,CLOTHING,02/04/2015,,Operations Fire Stations,Clothing
800059925,*NPS (SHOES) LTD,14462,118,29.45,CLOTHING,02/04/2015,,Operations Fire Stations,Clothing
800059925,*NPS (SHOES) LTD,14462,119,29.45,CLOTHING,02/04/2015,,Operations Fire Stations,Clothing
800059925,*NPS (SHOES) LTD,14462,120,29.45,CLOTHING,02/04/2015,,Operations Fire Stations,Clothing
800059925,*NPS (SHOES) LTD,14462,121,29.45,CLOTHING,02/04/2015,,Firefighter Trainees,Clothing
800059925,*NPS (SHOES) LTD,14462,122,29.45,CLOTHING,02/04/2015,,Firefighter Trainees,Clothing
800059925,*NPS (SHOES) LTD,14462,123,29.45,CLOTHING,02/04/2015,,Operations Fire Stations,Clothing
800059925,*NPS (SHOES) LTD,14462,124,29.45,CLOTHING,02/04/2015,,Operations Fire Stations,Clothing
800059925,*NPS (SHOES) LTD,14462,125,29.45,CLOTHING,02/04/2015,,Operations Fire Stations,Clothing
800059925,*NPS (SHOES) LTD,14462,126,29.45,CLOTHING,02/04/2015,,Operations Fire Stations,Clothing
800059925,*NPS (SHOES) LTD,14462,127,29.45,CLOTHING,02/04/2015,,Operations Fire Stations,Clothing
800059925,*NPS (SHOES) LTD,14462,128,29.45,CLOTHING,02/04/2015,,Operations Fire Stations,Clothing
800059925,*NPS (SHOES) LTD,14462,129,29.45,CLOTHING,02/04/2015,,Operations Fire Stations,Clothing
800059925,*NPS (SHOES) LTD,14462,130,29.45,CLOTHING,02/04/2015,,Operations Fire Stations,Clothing
800059925,*NPS (SHOES) LTD,14462,131,29.45,CLOTHING,02/04/2015,,Operations Fire Stations,Clothing
800059925,*NPS (SHOES) LTD,14462,132,29.45,CLOTHING,02/04/2015,,Operations Fire Stations,Clothing
800059925,*NPS (SHOES) LTD,14462,133,29.45,CLOTHING,02/04/2015,,Operations Fire Stations,Clothing
800059925,*NPS (SHOES) LTD,14462,134,29.45,CLOTHING,02/04/2015,,Operations Fire Stations,Clothing
800059925,*NPS (SHOES) LTD,14462,135,29.45,CLOTHING,02/04/2015,,Operations Fire Stations,Clothing
800059925,*NPS (SHOES) LTD,14462,136,29.45,CLOTHING,02/04/2015,,Operations Fire Stations,Clothing
260315H,LONDON FIT OUT LTD,1496,1,"56,274.00",DEVELOPMENT  EXPENSES-CONTRACT,02/04/2015,"56,274.00",Technical and Service Support,"Works - Construction, R&M"
230315H,BUREAU VERITAS HS&E LTD=======,15004234,1,"96,450.00",SCIENTIFIC SERVICES,02/04/2015,"96,450.00",Procurement,Environmental Services
260315H,IMTECH INVIRON,15005244R7,1,"1,035.00",DEVELOPMENT  EXPENSES-CONTRACT,02/04/2015,"21,735.00",Technical and Service Support,Facilities & Management S
260315H,IMTECH INVIRON,15005244R7,2,"1,035.00",DEVELOPMENT  EXPENSES-CONTRACT,02/04/2015,,Technical and Service Support,Facilities & Management S
