 Batch Number,Vendor Name,Invoice Number, Line,Line Amount,Account Description,Issue Date ,Total Amount Paid,Department,Proclass
142000,CORONA ENERGY RETAIL 4 LTD,1237308171,33,192.27,GAS,28/09/17,,Technical and Service Support,Utilities
142000,CORONA ENERGY RETAIL 4 LTD,1237308171,34,308.84,GAS,28/09/17,,Technical and Service Support,Utilities
142001,CORONA ENERGY RETAIL 4 LTD,1237308172,1,196.26,GAS,28/09/17,"6,395.12",Technical and Service Support,Utilities
142001,CORONA ENERGY RETAIL 4 LTD,1237308172,2,372.45,GAS,28/09/17,,Technical and Service Support,Utilities
142001,CORONA ENERGY RETAIL 4 LTD,1237308172,3,69.17,GAS,28/09/17,,Technical and Service Support,Utilities
142001,CORONA ENERGY RETAIL 4 LTD,1237308172,4,226.12,GAS,28/09/17,,Technical and Service Support,Utilities
142001,CORONA ENERGY RETAIL 4 LTD,1237308172,5,300.12,GAS,28/09/17,,Technical and Service Support,Utilities
142001,CORONA ENERGY RETAIL 4 LTD,1237308172,6,35.12,GAS,28/09/17,,Technical and Service Support,Utilities
142001,CORONA ENERGY RETAIL 4 LTD,1237308172,7,331.67,GAS,28/09/17,,Technical and Service Support,Utilities
142001,CORONA ENERGY RETAIL 4 LTD,1237308172,8,74.09,GAS,28/09/17,,Technical and Service Support,Utilities
142001,CORONA ENERGY RETAIL 4 LTD,1237308172,9,117.34,GAS,28/09/17,,Technical and Service Support,Utilities
142001,CORONA ENERGY RETAIL 4 LTD,1237308172,10,176.78,GAS,28/09/17,,Technical and Service Support,Utilities
142001,CORONA ENERGY RETAIL 4 LTD,1237308172,11,50.74,GAS,28/09/17,,Technical and Service Support,Utilities
142001,CORONA ENERGY RETAIL 4 LTD,1237308172,12,225.19,GAS,28/09/17,,Technical and Service Support,Utilities
142001,CORONA ENERGY RETAIL 4 LTD,1237308172,13,309.50,GAS,28/09/17,,Technical and Service Support,Utilities
